,Id,Partner,PartnerExposureDate,Total Impressions,LogoImpressions,FollowerInteractionRate,BrandExposureValue,Engagement,ServiceType
230,-879156378,Rakuten,1/3/2023 6:12:20 AM,1930127.0,1930127.0,0.0067767761723273,52.89911,184838,Instagram
234,684914104,Rakuten,1/3/2023 6:13:54 AM,5510.0,1537.0,0.0021654495611509,0.07385246,94,Twitter
237,25053787,Rakuten,1/3/2023 6:18:31 AM,22326.0,3917.0,0.0086069007540559,4.565817,339,Twitter
238,-1758633443,Rakuten,1/3/2023 6:22:21 AM,44871.0,44871.0,0.0007395061728395,1.904516,1198,YouTube
250,726932482,Rakuten,1/3/2023 6:24:13 AM,655635.0,115024.0,0.002386233229794,955.3917,19257,Twitter
251,107488171,Rakuten,1/3/2023 6:25:00 AM,1031796.0,181017.0,0.0072015208241652,3076.441,196423,Instagram
252,-1610421585,Rakuten,1/3/2023 6:25:02 AM,398726.0,69952.0,0.0015391480274779,764.4968,12421,Twitter
253,-1911841708,Rakuten,1/3/2023 6:25:31 AM,1003750.0,0.0,0.003962541511504,1012.018,46294,Facebook
254,-586521791,Rakuten,1/3/2023 6:26:18 AM,408410.0,171583.0,0.0011370422107094,3.680966,9176,Twitter
265,-245954350,Rakuten,1/3/2023 6:28:29 AM,20373.0,5659.0,0.0064481734406336,0.8251254,254,Twitter
274,1975463980,Rakuten,1/3/2023 6:28:40 AM,839067.0,346406.0,0.0025933616173921,13.40965,30298,Facebook
285,1859748067,Rakuten,1/3/2023 6:38:56 AM,315989.0,80600.0,0.0007572304917425,4.239283,6111,Twitter
297,-1053824184,Rakuten,1/3/2023 6:42:39 AM,100400.0,100400.0,0.0017456790123456,2.646702,2828,YouTube
311,1513853562,Rakuten,1/3/2023 6:42:46 AM,4939573.0,2331348.0,0.0112840931870889,123.7281,131831,Facebook
325,-1180513493,Rakuten,1/3/2023 6:44:35 AM,38011.0,6669.0,0.0349989884685414,84.25521,4152,Instagram
326,1122265608,Rakuten,1/3/2023 6:45:30 AM,343317.0,60232.0,0.0009159385954369,346.6012,7392,Twitter
327,-1546085489,Rakuten,1/3/2023 6:47:14 AM,445824.0,445824.0,0.0,7.585198,55327,TikTok
328,-817946384,Rakuten,1/3/2023 7:00:05 AM,22964.0,4029.0,0.00482306950297,11.38037,190,Twitter
329,-869391442,Rakuten,1/3/2023 7:33:06 AM,100132.0,17568.0,0.113797289095691,410.3653,13500,Instagram
330,1999366272,Rakuten,1/3/2023 8:04:15 AM,212981.0,212981.0,0.255766135488383,8.345145,30351,Instagram
331,-1471751298,Rakuten,1/3/2023 9:11:00 AM,107820.0,25772.0,0.0305845326023503,2.47039,1205,Twitter
334,-1111414981,Rakuten,1/3/2023 9:15:57 AM,282204.0,49510.0,0.0007666965266962,1001.277,6188,Twitter
335,-1996384585,Rakuten,1/3/2023 10:15:00 AM,36858.0,9616.0,0.0075113558504834,1.757296,296,Twitter
337,793803976,Rakuten,1/3/2023 11:14:00 AM,27993.0,6230.0,0.005861010326542,0.1582036,231,Twitter
339,-1127572336,Rakuten,1/3/2023 3:00:01 PM,610283.0,0.0,0.001051694895163,562.4326,12288,Facebook
340,-779292913,Rakuten,1/3/2023 3:00:12 PM,819850.0,0.0,0.0044191042188454,1057.981,120532,Instagram
341,292739103,Rakuten,1/3/2023 3:03:30 PM,171203.0,30036.0,0.0003669243354203,146.9991,2962,Twitter
342,-1768735549,Rakuten,1/3/2023 5:45:23 PM,220465.0,38679.0,0.0005844228397103,478.3612,4718,Twitter
343,-538405885,Rakuten,1/3/2023 5:45:28 PM,341177.0,0.0,0.000861777010042,243.1958,10069,Facebook
344,-1833492068,Rakuten,1/3/2023 5:46:30 PM,1184088.0,88905.0,0.0077260902532025,3972.736,210832,Instagram
345,-1993081717,Rakuten,1/3/2023 6:35:00 PM,530735.0,0.0,0.0012112293421506,1091.956,14152,Facebook
346,1457214572,Rakuten,1/3/2023 6:37:22 PM,1654.0,1654.0,0.0065179606025492,0.2930441,180,Instagram
351,935268094,Rakuten,1/3/2023 7:35:01 PM,368944.0,135028.0,0.0015657313160898,31.29989,18294,Facebook
361,-774910578,Rakuten,1/3/2023 7:44:41 PM,1106583.0,1106583.0,0.0040236999592169,209.0785,109800,Instagram
366,600941389,Rakuten,1/3/2023 10:00:12 PM,625539.0,0.0,0.002715264558089,2943.803,74095,Instagram
367,-1545024457,Rakuten,1/3/2023 10:48:30 PM,12461.0,2187.0,0.0042088182348317,29.02973,166,Twitter
368,1810662519,Rakuten,1/3/2023 11:04:09 PM,316952.0,316952.0,0.0,118.1235,42658,TikTok
370,-1966529188,Rakuten,1/3/2023 11:06:10 PM,135282.0,135282.0,0.0050179012345679,248.864,8129,YouTube
372,-518920966,Rakuten,1/3/2023 11:15:00 PM,823081.0,426049.0,0.0024497609850464,679.7416,28623,Facebook
376,-1142048370,Rakuten,1/3/2023 11:44:00 PM,1705415.0,1705415.0,0.0066364297952123,746.3387,181097,Instagram
379,1324763987,Rakuten,1/4/2023 1:17:12 AM,213277.0,56653.0,0.0003623085183996,5.18576,2925,Twitter
385,-735784236,Rakuten,1/4/2023 2:14:34 AM,35827.0,6286.0,0.0315767373504094,68.50632,3760,Instagram
386,1330493080,Rakuten,1/4/2023 4:43:30 AM,19859.0,3740.0,0.0022054350030419,0.003234589,87,Twitter
391,485771759,Rakuten,1/4/2023 5:44:00 AM,15581.0,2828.0,0.0020530758117253,0.08375979,81,Twitter
393,-2120349145,Rakuten,1/4/2023 6:42:00 AM,30592.0,5368.0,0.0049675587996755,32.15747,196,Twitter
394,1484000674,Rakuten,1/4/2023 7:45:00 AM,28096.0,4941.0,0.0033449053543825,0.002090226,132,Twitter
400,805037576,Rakuten,1/4/2023 9:07:30 AM,26429.0,3828.0,0.0019765349821351,2.935999,78,Twitter
404,-405167536,Rakuten,1/4/2023 9:08:36 AM,13271.0,13271.0,0.0035949821088885,0.699711,429,Instagram
409,-1711721812,Rakuten,1/4/2023 11:26:30 AM,14419.0,2530.0,0.0022551056605685,18.05256,89,Twitter
410,392915264,Rakuten,1/4/2023 4:05:00 PM,474502.0,0.0,0.0009947486207844,524.5372,11623,Facebook
411,-830144382,Rakuten,1/4/2023 4:05:30 PM,234281.0,41102.0,0.0005190483049314,370.6132,4191,Twitter
412,876244195,Rakuten,1/4/2023 4:05:40 PM,1739373.0,744448.0,0.0083840061664667,2819.463,228850,Instagram
413,349327286,Rakuten,1/4/2023 5:05:30 PM,243561.0,39316.0,0.0005696899202533,69.54686,4600,Twitter
414,1855738921,Rakuten,1/4/2023 7:54:30 PM,149905.0,26300.0,0.0002657700992043,324.0901,2146,Twitter
415,-1635036416,Rakuten,1/4/2023 7:54:34 PM,342861.0,0.0,0.0006961443071031,620.2635,8134,Facebook
416,-253663986,Rakuten,1/4/2023 7:54:39 PM,781723.0,137145.0,0.0030107317700575,2250.813,82210,Instagram
417,-116372265,Rakuten,1/4/2023 8:00:41 PM,152451.0,152451.0,0.0,4.418117,17777,TikTok
420,1382023042,Rakuten,1/4/2023 8:24:33 PM,33124.0,25621.0,0.0828849636492481,115.4866,6316,Instagram
422,-279548143,Rakuten,1/4/2023 8:32:20 PM,5759.0,1011.0,0.0,1.056755,0,Instagram Story
424,-561609447,Rakuten,1/4/2023 9:33:44 PM,101618.0,28498.0,0.000373233995977,35.04195,4361,Facebook
427,-1510926768,Rakuten,1/4/2023 9:33:59 PM,237383.0,20476.0,0.0001151726747999,16.27913,930,Twitter
430,1781733752,Rakuten,1/4/2023 11:12:11 PM,12449.0,0.0,0.0246091488129705,7.17243,85,Twitter
431,-714914269,Rakuten,1/5/2023 12:16:59 AM,466575.0,81856.0,0.0,802.6854,0,Instagram Story
433,1804284230,Rakuten,1/5/2023 12:26:47 AM,416284.0,73033.0,0.0,732.9557,0,Instagram Story
435,1174077235,Rakuten,1/5/2023 1:01:40 AM,89117.0,0.0,0.0001703961251723,335.02,1376,Twitter
437,2051590725,Rakuten,1/5/2023 1:04:16 AM,398931.0,69988.0,0.0,250.784,0,Instagram Story
438,-1148497113,Rakuten,1/5/2023 1:09:31 AM,9588.0,1646.0,0.0017203865809846,47.74293,68,Twitter
439,-991149216,Rakuten,1/5/2023 1:18:18 AM,670284.0,0.0,0.0023596944427699,2205.453,64433,Instagram
441,-977773884,Rakuten,1/5/2023 1:18:24 AM,721654.0,0.0,0.0008493405586048,1580.737,9924,Facebook
443,614805020,Rakuten,1/5/2023 1:19:17 AM,105503.0,0.0,0.0001307685849278,210.715,1056,Twitter
445,437105650,Rakuten,1/5/2023 1:31:33 AM,20097.0,3526.0,0.0062740335964379,52.23044,248,Twitter
446,1637141424,Rakuten,1/5/2023 1:38:44 AM,8206.0,1440.0,0.0,7.672086,0,Twitter
447,832324626,Rakuten,1/5/2023 1:40:11 AM,7243.0,1271.0,0.0013155231734466,16.93079,52,Twitter
448,-1509514237,Rakuten,1/5/2023 1:42:53 AM,7812.0,1371.0,0.0016190644843026,13.25908,64,Twitter
449,1177854832,Rakuten,1/5/2023 1:49:25 AM,13751.0,2413.0,0.0031367787306164,24.37644,124,Twitter
450,979893791,Rakuten,1/5/2023 1:52:28 AM,8525.0,1496.0,0.0014924995573094,12.15067,59,Twitter
451,1421766415,Rakuten,1/5/2023 1:52:32 AM,383778.0,67330.0,0.0,1.01528,0,Instagram Story
454,-735113890,Rakuten,1/5/2023 2:29:20 AM,84950.0,34652.0,0.12272994431328,261.7782,12320,Instagram
455,-1781256057,Rakuten,1/5/2023 2:29:25 AM,110601.0,18847.0,0.011856251582752,281.67,515,Twitter
456,309025570,Rakuten,1/5/2023 2:31:29 AM,364987.0,64033.0,0.0,171.8877,0,Instagram Story
457,452309485,Rakuten,1/5/2023 2:35:45 AM,5915.0,1038.0,0.0015176042088223,18.72302,60,Twitter
458,-1093198045,Rakuten,1/5/2023 2:36:01 AM,255273.0,44785.0,0.0006031834364911,440.746,4871,Twitter
459,-1194152021,Rakuten,1/5/2023 2:36:17 AM,369351.0,0.0,0.0011613816384792,707.0264,13570,Facebook
460,-968335431,Rakuten,1/5/2023 2:36:48 AM,359530.0,63076.0,0.0,113.3051,0,Instagram Story
461,-712108227,Rakuten,1/5/2023 3:00:16 AM,16660.0,16660.0,0.0159389538069195,0.03265812,1600,Instagram
462,1626679762,Rakuten,1/5/2023 3:15:41 AM,1690.0,465.0,0.0002071727821002,8.696709e-06,9,Twitter
464,-265559594,Rakuten,1/5/2023 3:32:29 AM,73818.0,21965.0,0.0001025300401873,10.43051,828,Twitter
465,823254023,Rakuten,1/5/2023 3:33:00 AM,458812.0,231569.0,0.0005757176551217,97.16139,6727,Facebook
466,1608707782,Rakuten,1/5/2023 3:35:11 AM,8063.0,1415.0,0.0008093274994309,3.409955,32,Twitter
467,845384323,Rakuten,1/5/2023 3:35:28 AM,4139.0,727.0,0.0,1.010712,0,Instagram Story
468,-814065118,Rakuten,1/5/2023 3:40:04 AM,360055.0,63168.0,0.0,121.3883,0,Instagram Story
469,-711991586,Rakuten,1/5/2023 4:02:59 AM,189543.0,33254.0,0.0002831928802313,125.0858,2287,Twitter
470,-2107470593,Rakuten,1/5/2023 4:05:03 AM,12045.0,2114.0,0.0033638524963326,9.846588,133,Twitter
471,-1885970039,Rakuten,1/5/2023 4:09:19 AM,14892.0,2613.0,0.0053949774930892,16.69565,646,Instagram
472,2005871670,Rakuten,1/5/2023 4:21:47 AM,72666.0,10836.0,7.47911667174355e-05,98.99014,604,Twitter
475,52473062,Rakuten,1/5/2023 4:30:11 AM,141925.0,48277.0,0.0003261574969232,20.88627,2634,Twitter
479,610338383,Rakuten,1/5/2023 4:30:20 AM,256025.0,125380.0,0.0009137709831626,63.99439,10677,Facebook
482,131629787,Rakuten,1/5/2023 4:35:39 AM,276314.0,30380.0,0.0001310075895247,21.90595,1058,Twitter
485,1410029997,Rakuten,1/5/2023 4:41:44 AM,1408804.0,1408804.0,0.0045594952605786,875.1985,124500,Instagram
486,2060351582,Rakuten,1/5/2023 4:43:42 AM,119575.0,28610.0,0.0001732316380654,11.97668,1399,Twitter
487,802341743,Rakuten,1/5/2023 4:44:40 AM,366160.0,64239.0,0.0,83.04974,0,Instagram Story
488,-244688476,Rakuten,1/5/2023 4:44:53 AM,6794.0,1192.0,0.0007334159480033,1.154581,29,Twitter
489,-733597704,Rakuten,1/5/2023 4:45:20 AM,356324.0,62513.0,0.0,7.645074,0,Instagram Story
492,-1222539749,Rakuten,1/5/2023 4:46:29 AM,130737.0,22937.0,0.0002033165611616,190.31,1642,Twitter
493,-835874673,Rakuten,1/5/2023 4:54:12 AM,40812.0,40812.0,0.0008969135802469,2.486056,1453,YouTube
504,1186568974,Rakuten,1/5/2023 4:55:28 AM,138797.0,24351.0,0.0002753865131436,211.0528,2224,Twitter
505,-437023933,Rakuten,1/5/2023 4:57:20 AM,102035.0,28021.0,0.0001185002841777,3.881836,957,Twitter
506,-1083588953,Rakuten,1/5/2023 4:59:42 AM,8130.0,1661.0,0.001340346972839,0.1391574,53,Twitter
508,2068680573,Rakuten,1/5/2023 5:03:34 AM,295483.0,25754.0,0.0001610955986602,1.928133,1301,Twitter
510,-532014420,Rakuten,1/5/2023 5:04:42 AM,206053.0,37959.0,0.0001688965384877,9.14955,1364,Twitter
511,488341631,Rakuten,1/5/2023 5:07:22 AM,18044.0,3271.0,0.0025287646984448,0.1759671,100,Twitter
513,603494145,Rakuten,1/5/2023 5:11:32 AM,13292.0,2779.0,0.0020230117587558,0.1185979,80,Twitter
516,-761898923,Rakuten,1/5/2023 5:15:40 AM,122102.0,34214.0,0.0001649334824008,0.3842,1332,Twitter
517,-423040249,Rakuten,1/5/2023 5:19:07 AM,12438.0,2868.0,0.0013654984069185,0.1212421,54,Twitter
519,942298600,Rakuten,1/5/2023 5:20:43 AM,250951.0,98450.0,0.0005096569845047,492.9096,4116,Twitter
520,-1020103099,Rakuten,1/5/2023 5:21:38 AM,501026.0,238717.0,0.000907129210935,18.00612,7326,Twitter
523,-704630375,Rakuten,1/5/2023 5:22:05 AM,103804.0,26250.0,0.0180544668369282,8.667129,714,Twitter
526,1728058343,Rakuten,1/5/2023 5:23:16 AM,2299012.0,2299012.0,0.0090313163713273,263.5711,246606,Instagram
527,1853014601,Rakuten,1/5/2023 5:27:21 AM,833695.0,146263.0,0.0012709170736515,482.2437,10264,Twitter
528,1893308144,Rakuten,1/5/2023 5:27:41 AM,1483241.0,260218.0,0.0061975809112647,1378.568,169229,Instagram
529,-1321910430,Rakuten,1/5/2023 5:27:43 AM,1411130.0,0.0,0.0027651050571323,592.6065,32309,Facebook
530,1770206384,Rakuten,1/5/2023 5:29:19 AM,373302.0,65492.0,0.0,121.4245,0,Instagram Story
531,-1205536533,Rakuten,1/5/2023 5:35:25 AM,240447.0,42184.0,0.0003055927055962,211.8999,2468,Twitter
532,-66820697,Rakuten,1/5/2023 5:38:24 AM,75153.0,30603.0,0.0533960871170173,1.21321,2893,Facebook
534,-1194416202,Rakuten,1/5/2023 5:39:29 AM,2761.0,728.0,0.0006214611241541,0.02063674,27,Twitter
536,-1850306337,Rakuten,1/5/2023 5:41:02 AM,12600.0,2211.0,0.0016182866390209,5.092409,64,Twitter
537,1160817898,Rakuten,1/5/2023 6:09:09 AM,1532354.0,795823.0,0.0034706523068459,58.57177,40553,Facebook
539,-672220083,Rakuten,1/5/2023 6:09:27 AM,160379.0,36585.0,0.0002814412466324,5.105827,2273,Twitter
541,1602594941,Rakuten,1/5/2023 7:10:44 PM,336279.0,0.0,0.000643995183515,742.9795,7525,Facebook
542,-1670505247,Rakuten,1/5/2023 7:54:00 PM,1382689.0,0.0,0.0025444014353604,456.4057,29731,Facebook
543,989097173,Rakuten,1/5/2023 8:14:31 PM,1814487.0,1208410.0,0.0089905754876007,1878.852,245640,Instagram
